old_filename	new_filename
WhatsApp Image 2026-05-15 at 20.13.23 (7).jpeg	commercial-interior-nasmyth-performance-board.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (8).jpeg	domestic-interior-classic-kitchen-island-detail-02.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (9).jpeg	domestic-interior-classic-kitchen-cornice.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (10).jpeg	commercial-interior-green-column-white-brick.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (11).jpeg	domestic-exterior-black-gloss-door.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (12).jpeg	domestic-exterior-stained-timber-fence.jpeg
WhatsApp Image 2026-05-15 at 20.13.24.jpeg	commercial-exterior-green-frame-roller-shutter-01.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (1).jpeg	commercial-exterior-green-frame-roller-shutter-02.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (2).jpeg	commercial-exterior-d6-green-banded-unit.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (3).jpeg	commercial-interior-qualvis-yellow-stair-hall.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (4).jpeg	commercial-interior-qualvis-reception.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (5).jpeg	commercial-interior-white-corridor-blue-carpet.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (6).jpeg	commercial-interior-costco-back-corridor.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (7).jpeg	commercial-interior-costco-food-court-01.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (8).jpeg	commercial-interior-costco-membership-desk.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (9).jpeg	commercial-interior-costco-food-court-02.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (10).jpeg	commercial-interior-small-office-prep.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (11).jpeg	commercial-interior-office-vision-window.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (12).jpeg	commercial-interior-office-serving-hatch.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (13).jpeg	domestic-interior-teal-landing-dresser.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (14).jpeg	domestic-interior-teal-stair-landing.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (15).jpeg	domestic-exterior-rendered-house-sage-windows.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (16).jpeg	domestic-exterior-gable-fascia-scaffold-detail.jpeg
WhatsApp Image 2026-05-15 at 20.13.24 (17).jpeg	domestic-interior-oak-staircase-hallway.jpeg
WhatsApp Image 2026-05-15 at 20.13.25.jpeg	domestic-interior-grey-lounge-french-doors.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (1).jpeg	domestic-interior-cinema-snug-fireplace.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (2).jpeg	domestic-interior-grey-lounge-fireplace-cornice.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (3).jpeg	domestic-interior-skirting-corner-detail.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (4).jpeg	domestic-interior-navy-doors-landing.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (5).jpeg	domestic-exterior-mint-green-rear.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (6).jpeg	domestic-interior-victorian-black-stairs.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (7).jpeg	domestic-interior-blush-pink-bedroom-01.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (8).jpeg	domestic-interior-pink-bedroom-fireplace.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (9).jpeg	domestic-interior-blush-pink-bedroom-02.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (10).jpeg	domestic-interior-attic-green-pale-blue.jpeg
WhatsApp Image 2026-05-15 at 20.13.25 (11).jpeg	domestic-exterior-grey-blue-rendered-house.jpeg
